日期,日期性质,等待时长区间,该时长对应病例数
2023-11-12,周日,0:00-0:30,2
2023-11-12,周日,0:30-1:00,20
2023-11-12,周日,1:00-1:30,7
2023-11-12,周日,1:30-2:00,15
2023-11-12,周日,2:00-2:30,16
2023-11-12,周日,2:30-3:00,23
2023-11-12,周日,3:00-3:30,11
2023-11-12,周日,3:30-4:00,4
2023-11-12,周日,>4:00,2
2023-11-13,周一,0:00-0:30,14
2023-11-13,周一,0:30-1:00,13
2023-11-13,周一,1:00-1:30,9
2023-11-13,周一,1:30-2:00,3
2023-11-13,周一,2:00-2:30,3
2023-11-13,周一,2:30-3:00,4
2023-11-14,周二,0:00-0:30,14
2023-11-14,周二,0:30-1:00,19
2023-11-14,周二,1:00-1:30,14
2023-11-14,周二,1:30-2:00,6
2023-11-14,周二,2:00-2:30,4
2023-11-14,周二,2:30-3:00,4
2023-11-14,周二,3:00-3:30,2
2023-11-15,周三,0:00-0:30,10
2023-11-15,周三,0:30-1:00,26
2023-11-15,周三,1:00-1:30,18
2023-11-15,周三,1:30-2:00,3
2023-11-16,周四,0:00-0:30,10
2023-11-16,周四,0:30-1:00,24
2023-11-16,周四,1:00-1:30,17
2023-11-16,周四,1:30-2:00,11
2023-11-16,周四,2:00-2:30,1
2023-11-16,周四,>4:00,3
2023-11-17,周五,0:00-0:30,8
2023-11-17,周五,0:30-1:00,22
2023-11-17,周五,1:00-1:30,20
2023-11-17,周五,1:30-2:00,9
2023-11-17,周五,2:00-2:30,3
2023-11-17,周五,3:00-3:30,1
2023-11-18,周六,0:00-0:30,14
2023-11-18,周六,0:30-1:00,32
2023-11-18,周六,1:00-1:30,22
2023-11-18,周六,1:30-2:00,12
2023-11-18,周六,2:00-2:30,1
2023-11-18,周六,3:00-3:30,1
2023-11-18,周六,>4:00,1
2023-11-19,周日,0:00-0:30,2
2023-11-19,周日,0:30-1:00,12
2023-11-19,周日,1:00-1:30,25
2023-11-19,周日,1:30-2:00,31
2023-11-19,周日,2:00-2:30,22
2023-11-19,周日,2:30-3:00,5
2023-11-19,周日,3:00-3:30,5
2023-11-19,周日,3:30-4:00,1
2023-11-19,周日,>4:00,3
2023-11-20,周一,0:00-0:30,18
2023-11-20,周一,0:30-1:00,27
2023-11-20,周一,1:00-1:30,4
2023-11-20,周一,1:30-2:00,1
2023-11-20,周一,3:00-3:30,1
2023-11-20,周一,>4:00,1
2023-11-21,周二,0:00-0:30,9
2023-11-21,周二,0:30-1:00,16
2023-11-21,周二,1:00-1:30,17
2023-11-21,周二,1:30-2:00,21
2023-11-21,周二,2:00-2:30,7
2023-11-21,周二,>4:00,5
2023-11-22,周三,0:00-0:30,20
2023-11-22,周三,0:30-1:00,20
2023-11-22,周三,1:00-1:30,20
2023-11-22,周三,1:30-2:00,4
2023-11-22,周三,2:00-2:30,2
2023-11-22,周三,2:30-3:00,1
2023-11-23,周四,0:00-0:30,10
2023-11-23,周四,0:30-1:00,37
2023-11-23,周四,1:00-1:30,15
2023-11-23,周四,1:30-2:00,1
2023-11-23,周四,2:00-2:30,1
2023-11-23,周四,>4:00,4
2023-11-24,周五,0:00-0:30,2
2023-11-24,周五,0:30-1:00,6
2023-11-24,周五,1:00-1:30,11
2023-11-24,周五,1:30-2:00,19
2023-11-24,周五,2:00-2:30,13
2023-11-24,周五,2:30-3:00,6
2023-11-24,周五,>4:00,1
2023-11-25,周六,0:00-0:30,24
2023-11-25,周六,0:30-1:00,31
2023-11-25,周六,1:00-1:30,11
2023-11-25,周六,1:30-2:00,3
2023-11-25,周六,2:30-3:00,1
2023-11-26,周日,0:00-0:30,8
2023-11-26,周日,0:30-1:00,17
2023-11-26,周日,1:00-1:30,32
2023-11-26,周日,1:30-2:00,24
2023-11-26,周日,2:00-2:30,4
2023-11-26,周日,2:30-3:00,3
2023-11-26,周日,3:00-3:30,3
2023-11-26,周日,3:30-4:00,1
2023-11-26,周日,>4:00,1
2023-11-27,周一,0:00-0:30,18
2023-11-27,周一,0:30-1:00,22
2023-11-27,周一,1:30-2:00,1
2023-11-27,周一,>4:00,1
2023-11-28,周二,0:00-0:30,11
2023-11-28,周二,0:30-1:00,32
2023-11-28,周二,1:00-1:30,20
2023-11-28,周二,1:30-2:00,5
2023-11-28,周二,2:00-2:30,2
2023-11-28,周二,2:30-3:00,2
2023-11-28,周二,3:30-4:00,1
2023-11-29,周三,0:00-0:30,17
2023-11-29,周三,0:30-1:00,21
2023-11-29,周三,1:00-1:30,6
2023-11-29,周三,1:30-2:00,1
2023-11-30,周四,0:00-0:30,17
2023-11-30,周四,0:30-1:00,21
2023-11-30,周四,1:00-1:30,18
2023-11-30,周四,1:30-2:00,2
2023-11-30,周四,3:00-3:30,1
2023-11-30,周四,>4:00,1
2023-12-01,周五,0:00-0:30,9
2023-12-01,周五,0:30-1:00,25
2023-12-01,周五,1:00-1:30,16
2023-12-01,周五,1:30-2:00,3
2023-12-01,周五,2:00-2:30,1
2023-12-02,周六,0:00-0:30,19
2023-12-02,周六,0:30-1:00,29
2023-12-02,周六,1:00-1:30,21
2023-12-02,周六,1:30-2:00,2
2023-12-02,周六,2:00-2:30,1
2023-12-02,周六,>4:00,2
2023-12-03,周日,0:00-0:30,8
2023-12-03,周日,0:30-1:00,33
2023-12-03,周日,1:00-1:30,26
2023-12-03,周日,1:30-2:00,15
2023-12-03,周日,2:00-2:30,5
2023-12-03,周日,2:30-3:00,3
2023-12-03,周日,3:00-3:30,5
2023-12-03,周日,>4:00,2
2023-12-04,周一,0:00-0:30,14
2023-12-04,周一,0:30-1:00,25
2023-12-04,周一,1:00-1:30,7
2023-12-04,周一,1:30-2:00,1
2023-12-04,周一,2:00-2:30,2
2023-12-04,周一,2:30-3:00,3
2023-12-04,周一,3:00-3:30,1
2023-12-05,周二,0:00-0:30,17
2023-12-05,周二,0:30-1:00,34
2023-12-05,周二,1:00-1:30,13
2023-12-05,周二,2:30-3:00,2
2023-12-05,周二,>4:00,1
2023-12-06,周三,0:00-0:30,10
2023-12-06,周三,0:30-1:00,25
2023-12-06,周三,1:00-1:30,15
2023-12-06,周三,1:30-2:00,7
2023-12-06,周三,2:00-2:30,1
2023-12-06,周三,2:30-3:00,1
2023-12-06,周三,3:30-4:00,1
2023-12-06,周三,>4:00,1
2023-12-07,周四,0:00-0:30,18
2023-12-07,周四,0:30-1:00,25
2023-12-07,周四,1:00-1:30,6
2023-12-07,周四,1:30-2:00,4
2023-12-07,周四,2:00-2:30,1
2023-12-07,周四,3:00-3:30,1
2023-12-08,周五,0:00-0:30,14
2023-12-08,周五,0:30-1:00,18
2023-12-08,周五,1:00-1:30,11
2023-12-08,周五,1:30-2:00,3
2023-12-08,周五,2:00-2:30,4
2023-12-08,周五,2:30-3:00,1
2023-12-08,周五,3:00-3:30,1
2023-12-08,周五,>4:00,1
2023-12-09,周六,0:00-0:30,24
2023-12-09,周六,0:30-1:00,37
2023-12-09,周六,1:00-1:30,13
2023-12-09,周六,1:30-2:00,2
2023-12-09,周六,2:00-2:30,1
2023-12-09,周六,>4:00,1
2023-12-10,周日,0:00-0:30,16
2023-12-10,周日,0:30-1:00,34
2023-12-10,周日,1:00-1:30,13
2023-12-10,周日,1:30-2:00,13
2023-12-10,周日,2:00-2:30,6
2023-12-10,周日,2:30-3:00,7
2023-12-10,周日,3:00-3:30,3
2023-12-10,周日,3:30-4:00,3
2023-12-10,周日,>4:00,2
2023-12-11,周一,0:00-0:30,15
2023-12-11,周一,0:30-1:00,17
2023-12-11,周一,1:00-1:30,10
2023-12-11,周一,2:00-2:30,1
2023-12-12,周二,0:00-0:30,1
2023-12-12,周二,0:30-1:00,11
2023-12-12,周二,1:00-1:30,10
2023-12-12,周二,1:30-2:00,19
2023-12-12,周二,2:00-2:30,13
2023-12-12,周二,2:30-3:00,3
2023-12-12,周二,3:30-4:00,1
2023-12-12,周二,>4:00,2
2023-12-13,周三,0:00-0:30,18
2023-12-13,周三,0:30-1:00,17
2023-12-13,周三,1:00-1:30,6
2023-12-13,周三,1:30-2:00,2
2023-12-13,周三,2:00-2:30,1
2023-12-13,周三,2:30-3:00,1
2023-12-14,周四,0:00-0:30,14
2023-12-14,周四,0:30-1:00,24
2023-12-14,周四,1:00-1:30,10
2023-12-14,周四,1:30-2:00,1
2023-12-15,周五,0:00-0:30,18
2023-12-15,周五,0:30-1:00,15
2023-12-15,周五,1:00-1:30,1
2023-12-15,周五,1:30-2:00,2
2023-12-15,周五,3:30-4:00,1
2023-12-16,周六,0:00-0:30,19
2023-12-16,周六,0:30-1:00,34
2023-12-16,周六,1:00-1:30,19
2023-12-16,周六,1:30-2:00,4
2023-12-16,周六,2:00-2:30,4
2023-12-16,周六,2:30-3:00,4
2023-12-16,周六,3:00-3:30,2
2023-12-16,周六,>4:00,3
2023-12-17,周日,0:00-0:30,9
2023-12-17,周日,0:30-1:00,31
2023-12-17,周日,1:00-1:30,43
2023-12-17,周日,1:30-2:00,7
2023-12-17,周日,2:00-2:30,3
2023-12-17,周日,3:00-3:30,1
2023-12-17,周日,>4:00,1
2023-12-18,周一,0:00-0:30,10
2023-12-18,周一,0:30-1:00,18
2023-12-18,周一,1:00-1:30,18
2023-12-18,周一,1:30-2:00,3
2023-12-18,周一,2:00-2:30,3
2023-12-18,周一,2:30-3:00,1
2023-12-18,周一,3:30-4:00,1
2023-12-18,周一,>4:00,4
2023-12-19,周二,0:00-0:30,8
2023-12-19,周二,0:30-1:00,20
2023-12-19,周二,1:00-1:30,13
2023-12-19,周二,1:30-2:00,11
2023-12-19,周二,2:00-2:30,3
2023-12-19,周二,2:30-3:00,1
2023-12-19,周二,>4:00,3
2023-12-20,周三,0:00-0:30,28
2023-12-20,周三,0:30-1:00,29
2023-12-20,周三,1:00-1:30,7
2023-12-20,周三,1:30-2:00,1
2023-12-21,周四,0:00-0:30,16
2023-12-21,周四,0:30-1:00,26
2023-12-21,周四,1:00-1:30,12
2023-12-21,周四,1:30-2:00,4
2023-12-21,周四,2:00-2:30,2
2023-12-21,周四,2:30-3:00,1
2023-12-21,周四,3:30-4:00,1
2023-12-22,周五,0:00-0:30,13
2023-12-22,周五,0:30-1:00,23
2023-12-22,周五,1:00-1:30,4
2023-12-22,周五,1:30-2:00,1
2023-12-22,周五,3:00-3:30,1
2023-12-22,周五,>4:00,1
2023-12-23,周六,0:00-0:30,27
2023-12-23,周六,0:30-1:00,45
2023-12-23,周六,1:00-1:30,7
2023-12-23,周六,1:30-2:00,2
2023-12-23,周六,>4:00,1
2023-12-24,周日,0:00-0:30,5
2023-12-24,周日,0:30-1:00,16
2023-12-24,周日,1:00-1:30,31
2023-12-24,周日,1:30-2:00,13
2023-12-24,周日,2:00-2:30,24
2023-12-24,周日,2:30-3:00,7
2023-12-24,周日,3:00-3:30,4
2023-12-25,周一,0:00-0:30,15
2023-12-25,周一,0:30-1:00,34
2023-12-25,周一,1:00-1:30,4
2023-12-25,周一,1:30-2:00,1
2023-12-25,周一,2:30-3:00,1
2023-12-25,周一,3:00-3:30,2
2023-12-25,周一,>4:00,1
2023-12-26,周二,0:00-0:30,9
2023-12-26,周二,0:30-1:00,21
2023-12-26,周二,1:00-1:30,9
2023-12-26,周二,1:30-2:00,6
2023-12-26,周二,2:00-2:30,9
2023-12-26,周二,2:30-3:00,2
2023-12-26,周二,>4:00,1
2023-12-27,周三,0:00-0:30,6
2023-12-27,周三,0:30-1:00,15
2023-12-27,周三,1:00-1:30,12
2023-12-27,周三,1:30-2:00,24
2023-12-27,周三,2:00-2:30,7
2023-12-27,周三,2:30-3:00,2
2023-12-27,周三,3:00-3:30,1
2023-12-27,周三,>4:00,1
2023-12-28,周四,0:00-0:30,16
2023-12-28,周四,0:30-1:00,26
2023-12-28,周四,1:00-1:30,5
2023-12-28,周四,1:30-2:00,1
2023-12-28,周四,>4:00,1
2023-12-29,周五,0:00-0:30,14
2023-12-29,周五,0:30-1:00,34
2023-12-29,周五,1:00-1:30,9
2023-12-29,周五,1:30-2:00,5
2023-12-29,周五,2:00-2:30,2
2023-12-30,周六,0:00-0:30,17
2023-12-30,周六,0:30-1:00,25
2023-12-30,周六,1:00-1:30,27
2023-12-30,周六,1:30-2:00,10
2023-12-30,周六,2:00-2:30,8
2023-12-30,周六,3:00-3:30,1
2023-12-30,周六,>4:00,1
2023-12-31,周日,0:00-0:30,19
2023-12-31,周日,0:30-1:00,21
2023-12-31,周日,1:00-1:30,14
2023-12-31,周日,1:30-2:00,1
2023-12-31,周日,3:30-4:00,1
2023-12-31,周日,>4:00,1
2024-01-01,周一,0:00-0:30,11
2024-01-01,周一,0:30-1:00,30
2024-01-01,周一,1:00-1:30,24
2024-01-01,周一,1:30-2:00,12
2024-01-01,周一,2:00-2:30,9
2024-01-01,周一,>4:00,1
2024-01-02,周二,0:00-0:30,24
2024-01-02,周二,0:30-1:00,28
2024-01-02,周二,1:00-1:30,11
2024-01-02,周二,1:30-2:00,4
2024-01-02,周二,2:00-2:30,2
2024-01-02,周二,3:00-3:30,1
2024-01-02,周二,3:30-4:00,1
2024-01-02,周二,>4:00,1
2024-01-03,周三,0:00-0:30,6
2024-01-03,周三,0:30-1:00,30
2024-01-03,周三,1:00-1:30,12
2024-01-03,周三,1:30-2:00,7
2024-01-03,周三,2:00-2:30,4
2024-01-03,周三,2:30-3:00,2
2024-01-03,周三,3:00-3:30,1
2024-01-03,周三,3:30-4:00,2
2024-01-03,周三,>4:00,1
2024-01-04,周四,0:00-0:30,20
2024-01-04,周四,0:30-1:00,32
2024-01-04,周四,1:00-1:30,7
2024-01-04,周四,1:30-2:00,1
2024-01-04,周四,2:00-2:30,4
2024-01-05,周五,0:00-0:30,6
2024-01-05,周五,0:30-1:00,24
2024-01-05,周五,1:00-1:30,23
2024-01-05,周五,1:30-2:00,9
2024-01-05,周五,2:00-2:30,2
2024-01-05,周五,2:30-3:00,1
2024-01-06,周六,0:00-0:30,20
2024-01-06,周六,0:30-1:00,40
2024-01-06,周六,1:00-1:30,33
2024-01-06,周六,1:30-2:00,10
2024-01-06,周六,2:00-2:30,7
2024-01-06,周六,2:30-3:00,1
2024-01-06,周六,3:00-3:30,1
2024-01-06,周六,>4:00,2
2024-01-07,周日,0:00-0:30,6
2024-01-07,周日,0:30-1:00,23
2024-01-07,周日,1:00-1:30,29
2024-01-07,周日,1:30-2:00,33
2024-01-07,周日,2:00-2:30,7
2024-01-07,周日,2:30-3:00,4
2024-01-07,周日,>4:00,1
2024-01-08,周一,0:00-0:30,22
2024-01-08,周一,0:30-1:00,24
2024-01-08,周一,1:00-1:30,5
2024-01-08,周一,1:30-2:00,1
2024-01-08,周一,2:30-3:00,1
2024-01-08,周一,>4:00,1
2024-01-09,周二,0:00-0:30,8
2024-01-09,周二,0:30-1:00,5
2024-01-09,周二,1:00-1:30,10
2024-01-09,周二,1:30-2:00,17
2024-01-09,周二,2:00-2:30,19
2024-01-09,周二,2:30-3:00,8
2024-01-09,周二,3:00-3:30,1
2024-01-09,周二,3:30-4:00,1
2024-01-10,周三,0:00-0:30,17
2024-01-10,周三,0:30-1:00,24
2024-01-10,周三,1:00-1:30,9
2024-01-10,周三,1:30-2:00,5
2024-01-10,周三,2:00-2:30,1
2024-01-10,周三,>4:00,1
2024-01-11,周四,0:00-0:30,6
2024-01-11,周四,0:30-1:00,25
2024-01-11,周四,1:00-1:30,23
2024-01-11,周四,1:30-2:00,8
2024-01-11,周四,2:00-2:30,6
2024-01-11,周四,>4:00,1
2024-01-12,周五,0:00-0:30,10
2024-01-12,周五,0:30-1:00,18
2024-01-12,周五,1:00-1:30,11
2024-01-12,周五,1:30-2:00,11
2024-01-12,周五,2:00-2:30,12
2024-01-12,周五,2:30-3:00,4
2024-01-12,周五,3:00-3:30,1
2024-01-12,周五,3:30-4:00,1
2024-01-13,周六,0:00-0:30,6
2024-01-13,周六,0:30-1:00,24
2024-01-13,周六,1:00-1:30,29
2024-01-13,周六,1:30-2:00,27
2024-01-13,周六,2:00-2:30,18
2024-01-13,周六,2:30-3:00,7
2024-01-13,周六,3:00-3:30,2
2024-01-13,周六,>4:00,1
2024-01-14,周日,0:00-0:30,6
2024-01-14,周日,0:30-1:00,31
2024-01-14,周日,1:00-1:30,36
2024-01-14,周日,1:30-2:00,18
2024-01-14,周日,2:00-2:30,4
2024-01-14,周日,2:30-3:00,4
2024-01-14,周日,>4:00,2
2024-01-15,周一,0:00-0:30,9
2024-01-15,周一,0:30-1:00,20
2024-01-15,周一,1:00-1:30,19
2024-01-15,周一,1:30-2:00,7
2024-01-15,周一,2:00-2:30,6
2024-01-15,周一,2:30-3:00,1
2024-01-15,周一,3:00-3:30,1
2024-01-16,周二,0:00-0:30,6
2024-01-16,周二,0:30-1:00,13
2024-01-16,周二,1:00-1:30,15
2024-01-16,周二,1:30-2:00,19
2024-01-16,周二,2:00-2:30,11
2024-01-16,周二,2:30-3:00,8
2024-01-16,周二,3:00-3:30,3
2024-01-16,周二,3:30-4:00,2
2024-01-16,周二,>4:00,4
2024-01-17,周三,0:00-0:30,11
2024-01-17,周三,0:30-1:00,22
2024-01-17,周三,1:00-1:30,21
2024-01-17,周三,1:30-2:00,5
2024-01-17,周三,2:00-2:30,8
2024-01-17,周三,2:30-3:00,1
2024-01-17,周三,>4:00,2
2024-01-18,周四,0:00-0:30,17
2024-01-18,周四,0:30-1:00,24
2024-01-18,周四,1:00-1:30,8
2024-01-18,周四,1:30-2:00,2
2024-01-18,周四,2:00-2:30,1
2024-01-19,周五,0:00-0:30,6
2024-01-19,周五,0:30-1:00,17
2024-01-19,周五,1:00-1:30,21
2024-01-19,周五,1:30-2:00,19
2024-01-19,周五,2:00-2:30,9
2024-01-19,周五,2:30-3:00,3
2024-01-19,周五,>4:00,2
2024-01-20,周六,0:00-0:30,25
2024-01-20,周六,0:30-1:00,46
2024-01-20,周六,1:00-1:30,26
2024-01-20,周六,1:30-2:00,3
2024-01-20,周六,3:00-3:30,1
2024-01-20,周六,>4:00,2
2024-01-21,周日,0:00-0:30,17
2024-01-21,周日,0:30-1:00,36
2024-01-21,周日,1:00-1:30,33
2024-01-21,周日,1:30-2:00,12
2024-01-21,周日,2:00-2:30,18
2024-01-21,周日,2:30-3:00,3
2024-01-21,周日,>4:00,1
2024-01-22,周一,0:00-0:30,28
2024-01-22,周一,0:30-1:00,19
2024-01-22,周一,1:00-1:30,8
2024-01-22,周一,2:00-2:30,1
2024-01-22,周一,3:30-4:00,1
2024-01-23,周二,0:00-0:30,12
2024-01-23,周二,0:30-1:00,26
2024-01-23,周二,1:00-1:30,15
2024-01-23,周二,1:30-2:00,8
2024-01-23,周二,2:00-2:30,3
2024-01-23,周二,2:30-3:00,8
2024-01-23,周二,3:00-3:30,5
2024-01-23,周二,>4:00,1
2024-01-24,周三,0:00-0:30,19
2024-01-24,周三,0:30-1:00,28
2024-01-24,周三,1:00-1:30,6
2024-01-24,周三,1:30-2:00,2
2024-01-24,周三,2:00-2:30,2
2024-01-25,周四,0:00-0:30,47
2024-01-25,周四,0:30-1:00,23
2024-01-25,周四,1:00-1:30,2
2024-01-25,周四,2:00-2:30,1
2024-01-25,周四,>4:00,1
2024-01-26,周五,0:00-0:30,17
2024-01-26,周五,0:30-1:00,24
2024-01-26,周五,1:00-1:30,13
2024-01-26,周五,1:30-2:00,8
2024-01-26,周五,2:00-2:30,1
2024-01-26,周五,2:30-3:00,2
2024-01-26,周五,>4:00,1
2024-01-27,周六,0:00-0:30,18
2024-01-27,周六,0:30-1:00,41
2024-01-27,周六,1:00-1:30,23
2024-01-27,周六,1:30-2:00,4
2024-01-27,周六,2:00-2:30,3
2024-01-27,周六,2:30-3:00,2
2024-01-27,周六,3:00-3:30,1
2024-01-27,周六,>4:00,1
2024-01-28,周日,0:00-0:30,5
2024-01-28,周日,0:30-1:00,14
2024-01-28,周日,1:00-1:30,11
2024-01-28,周日,1:30-2:00,16
2024-01-28,周日,2:00-2:30,23
2024-01-28,周日,2:30-3:00,15
2024-01-28,周日,3:00-3:30,11
2024-01-28,周日,3:30-4:00,4
2024-01-28,周日,>4:00,1
2024-01-29,周一,0:00-0:30,19
2024-01-29,周一,0:30-1:00,18
2024-01-29,周一,1:00-1:30,11
2024-01-29,周一,1:30-2:00,1
2024-01-29,周一,2:00-2:30,1
2024-01-29,周一,>4:00,1
2024-01-30,周二,0:00-0:30,24
2024-01-30,周二,0:30-1:00,21
2024-01-30,周二,1:00-1:30,9
2024-01-30,周二,1:30-2:00,11
2024-01-30,周二,2:00-2:30,4
2024-01-30,周二,2:30-3:00,1
2024-01-30,周二,>4:00,1
2024-01-31,周三,0:00-0:30,9
2024-01-31,周三,0:30-1:00,22
2024-01-31,周三,1:00-1:30,21
2024-01-31,周三,1:30-2:00,5
2024-01-31,周三,2:30-3:00,1
2024-01-31,周三,3:30-4:00,2
2024-02-01,周四,0:00-0:30,8
2024-02-01,周四,0:30-1:00,33
2024-02-01,周四,1:00-1:30,26
2024-02-01,周四,1:30-2:00,6
2024-02-01,周四,2:00-2:30,3
2024-02-01,周四,3:30-4:00,2
2024-02-01,周四,>4:00,1
2024-02-02,周五,0:00-0:30,24
2024-02-02,周五,0:30-1:00,18
2024-02-02,周五,1:00-1:30,19
2024-02-02,周五,1:30-2:00,7
2024-02-02,周五,2:00-2:30,2
2024-02-02,周五,2:30-3:00,1
2024-02-02,周五,3:00-3:30,1
2024-02-02,周五,>4:00,1
2024-02-03,周六,0:00-0:30,37
2024-02-03,周六,0:30-1:00,29
2024-02-03,周六,1:00-1:30,18
2024-02-03,周六,1:30-2:00,5
2024-02-03,周六,3:00-3:30,1
2024-02-03,周六,3:30-4:00,2
2024-02-04,周日,0:00-0:30,21
2024-02-04,周日,0:30-1:00,36
2024-02-04,周日,1:00-1:30,9
2024-02-04,周日,1:30-2:00,6
2024-02-04,周日,2:00-2:30,1
2024-02-04,周日,2:30-3:00,1
2024-02-04,周日,3:30-4:00,1
2024-02-04,周日,>4:00,1
2024-02-05,周一,0:00-0:30,22
2024-02-05,周一,0:30-1:00,32
2024-02-05,周一,1:00-1:30,6
2024-02-05,周一,1:30-2:00,1
2024-02-05,周一,2:30-3:00,1
